,Borough,Neighborhood
0,São Paulo,Aclimação
1,São Paulo,Água Rasa
2,São Paulo,Alto de Pinheiros
3,São Paulo,Anhanguera 
4,São Paulo,Aricanduva 
5,São Paulo,Artur Alvim
6,São Paulo,Barra Funda 
7,São Paulo,Bela Vista (São Paulo neighbourhood)
8,São Paulo,"Belém, São Paulo city"
9,São Paulo,Bom Retiro 
10,São Paulo,Brasilândia 
11,São Paulo,Brooklin
12,São Paulo,Brás
13,São Paulo,Butantã
14,São Paulo,"Cachoeirinha, São Paulo city"
15,São Paulo,Cambuci 
16,São Paulo,Campo Belo 
17,São Paulo,Campo Grande 
18,São Paulo,"Campo Limpo, São Paulo city"
19,São Paulo,Campos Elíseos 
20,São Paulo,Cangaíba
21,São Paulo,Canindé 
22,São Paulo,Capão Redondo
23,São Paulo,Carrão
24,São Paulo,Casa Verde
25,São Paulo,Cerqueira César (neighbourhood of São Paulo)
26,São Paulo,Chácara Klabin
27,São Paulo,Cidade Ademar
28,São Paulo,Cidade Dutra
29,São Paulo,Cidade Ipava
30,São Paulo,Cidade Líder
31,São Paulo,Cidade Tiradentes
32,São Paulo,Consolação (São Paulo neighbourhood)
33,São Paulo,Cursino
34,São Paulo,Ermelino Matarazzo (district of São Paulo)
35,São Paulo,Freguesia do Ó
36,São Paulo,Glicério (São Paulo neighbourhood)
37,São Paulo,Grajaú
38,São Paulo,Guaianases
39,São Paulo,Higienópolis 
40,São Paulo,"Iguatemi, São Paulo city"
41,São Paulo,Ipiranga 
42,São Paulo,Itaim Bibi
43,São Paulo,Itaim Paulista
44,São Paulo,Itaquera
45,São Paulo,Jabaquara
46,São Paulo,Jaçanã 
47,São Paulo,Jaguara 
48,São Paulo,Jaguaré 
49,São Paulo,Jaraguá 
50,São Paulo,Jardim América 
51,São Paulo,Jardim Ângela
52,São Paulo,Jardim Bonfiglioli
53,São Paulo,Jardim da Saúde
54,São Paulo,Jardim das Bandeiras
55,São Paulo,Jardim Europa 
56,São Paulo,Jardim Glória 
57,São Paulo,Jardim Helena
58,São Paulo,Jardim Mitsutani
59,São Paulo,Jardim Paulista
60,São Paulo,Jardim São Luís
61,São Paulo,Jardim São Francisco
62,São Paulo,Jardim São Vicente 
63,São Paulo,Jardins 
64,São Paulo,"José Bonifácio, São Paulo city"
65,São Paulo,"Lajeado, São Paulo city"
66,São Paulo,Lapa 
67,São Paulo,Liberdade 
68,São Paulo,Limão 
69,São Paulo,Luz 
70,São Paulo,Mandaqui
71,São Paulo,Marsilac 
72,São Paulo,Moema 
73,São Paulo,Morumbi
74,São Paulo,Pacaembu (São Paulo neighbourhood)
75,São Paulo,Panamby
76,São Paulo,Paraíso (São Paulo neighbourhood)
77,São Paulo,Parelheiros
78,São Paulo,"Pari, São Paulo city"
79,São Paulo,"Parque Continental, São Paulo city"
80,São Paulo,Parque do Carmo
81,São Paulo,"Pedreira, São Paulo city"
82,São Paulo,Penha 
83,São Paulo,Perdizes 
84,São Paulo,Perus
85,São Paulo,Pinheiros 
86,São Paulo,Pirituba
87,São Paulo,Pompeia (São Paulo neighborhood)
88,São Paulo,Ponte Rasa
89,São Paulo,Raposo Tavares (district of São Paulo)
90,São Paulo,República 
91,São Paulo,Rio Pequeno
92,São Paulo,Sacomã
93,São Paulo,Santa Cecília 
94,São Paulo,Santana 
95,São Paulo,Santo Amaro 
96,São Paulo,Sapopemba
97,São Paulo,Saúde 
98,São Paulo,"Socorro, São Paulo city"
99,São Paulo,São Domingos 
100,São Paulo,"São Lucas, São Paulo city"
101,São Paulo,"São Mateus, São Paulo city"
102,São Paulo,São Miguel Paulista
103,São Paulo,São Rafael 
104,São Paulo,Sé 
105,São Paulo,Tatuapé
106,São Paulo,"Tremembé, São Paulo city"
107,São Paulo,Três Cruzes
108,São Paulo,"Tucuruvi, São Paulo city"
109,São Paulo,Vila Alpina
110,São Paulo,Vila América
111,São Paulo,Vila Andrade
112,São Paulo,Vila Buarque
113,São Paulo,Vila Carmosina
114,São Paulo,"Vila Cruzeiro (Santo Amaro, São Paulo)"
115,São Paulo,Vila Curuçá
116,São Paulo,Vila das Belezas
117,São Paulo,Vila dos Remédios
118,São Paulo,Vila Formosa
119,São Paulo,Vila Guilherme
120,São Paulo,Vila Jacuí
121,São Paulo,Vila Leopoldina
122,São Paulo,Vila Madalena
123,São Paulo,Vila Mafra
124,São Paulo,Vila Maria 
125,São Paulo,Vila Mariana
126,São Paulo,Vila Matilde 
127,São Paulo,Vila Medeiros
128,São Paulo,Vila Nova Conceição
129,São Paulo,Vila Olímpia
130,São Paulo,Vila Penteado
131,São Paulo,Vila Prudente (district of São Paulo)
132,São Paulo,Vila Romana 
133,São Paulo,Vila Sônia
134,São Paulo,Vila Zelina
135,São Paulo,Água Branca 
