,Borough,Neighborhood
0,Vancouver,"Strathcona, Chinatown, Downtown Eastside"
1,Vancouver,"NE Downtown, Gastown, Harbour Centre, International Village, Victory Square, Yaletown"
2,Vancouver,"Waterfront, Coal Harbour, Canada Place"
3,Vancouver,"SE West End, Davie Village"
4,Vancouver,"NW West End, Stanley Park"
5,Vancouver,"West Fairview, Granville Island, NE Shaughnessy"
6,Vancouver,"NW Shaughnessy, East Kitsilano, Quilchena"
7,Vancouver,North Hastings-Sunrise
8,Vancouver,"Central Kitsilano, Greektown"
9,Vancouver,North Grandview-Woodland
10,Vancouver,"NW Arbutus Ridge, NE Dunbar-Southlands"
11,Vancouver,"South Hastings-Sunrise, North Renfrew-Collingwood"
12,Vancouver,"South Shaughnessy, NW Oakridge, NE Kerrisdale, SE Arbutus Ridge"
13,Vancouver,"South Grandview-Woodland, NE Kensington-Cedar Cottage"
14,Vancouver,"West Kerrisdale, South Dunbar-Southlands, Musqueam"
15,Vancouver,"SE Kensington-Cedar Cottage, Victoria-Fraserview"
16,Vancouver,"SE Kerrisdale, SW Oakridge, West Marpole"
17,Vancouver,South Renfrew-Collingwood
18,Vancouver,"West Kitsilano, West Point Grey, Jericho"
19,Vancouver,Killarney
20,Vancouver,"NW Dunbar-Southlands, Chaldecutt, South University Endowment Lands"
21,Vancouver,East Mount Pleasant
22,Vancouver,UBC
23,Vancouver,"West Kensington-Cedar Cottage, NE Riley Park-Little Mountain"
24,Vancouver,"SE Riley Park-Little Mountain, SW Kensington-Cedar Cottage, NE Oakridge, North Sunset"
25,Vancouver,"SE Oakridge, East Marpole, South Sunset"
26,Vancouver,Bentall Centre
27,Vancouver,"West Mount Pleasant, West Riley Park-Little Mountain"
28,Vancouver,Pacific Centre
29,Vancouver,"East Fairview, South Cambie"
30,Vancouver,SW Downtown
